all_employees_private,year,month,value_in_thousands
CES0500000001,1953,M06,43785
CES0500000001,1953,M07,43813
CES0500000001,1953,M08,43735
CES0500000001,1953,M09,43619
CES0500000001,1953,M10,43476
CES0500000001,1953,M11,43159
CES0500000001,1953,M12,42960
CES0500000001,1954,M01,42709
CES0500000001,1954,M02,42599
CES0500000001,1954,M03,42361
CES0500000001,1954,M04,42373
CES0500000001,1954,M05,42136
CES0500000001,1954,M06,42049
CES0500000001,1954,M07,41967
CES0500000001,1954,M08,41934
CES0500000001,1954,M09,41992
CES0500000001,1954,M10,42042
CES0500000001,1954,M11,42216
CES0500000001,1954,M12,42374
CES0500000001,1955,M01,42543
CES0500000001,1955,M02,42721
CES0500000001,1955,M03,43024
CES0500000001,1955,M04,43289
CES0500000001,1955,M05,43521
CES0500000001,1955,M06,43770
CES0500000001,1955,M07,43938
CES0500000001,1955,M08,44088
CES0500000001,1955,M09,44199
CES0500000001,1955,M10,44311
CES0500000001,1955,M11,44509
CES0500000001,1955,M12,44673
CES0500000001,1956,M01,44808
CES0500000001,1956,M02,44955
CES0500000001,1956,M03,45042
CES0500000001,1956,M04,45099
CES0500000001,1956,M05,45139
CES0500000001,1956,M06,45219
CES0500000001,1956,M07,44550
CES0500000001,1956,M08,45180
CES0500000001,1956,M09,45123
CES0500000001,1956,M10,45258
CES0500000001,1956,M11,45268
CES0500000001,1956,M12,45345
CES0500000001,1957,M01,45267
CES0500000001,1957,M02,45451
CES0500000001,1957,M03,45484
CES0500000001,1957,M04,45537
CES0500000001,1957,M05,45437
CES0500000001,1957,M06,45365
CES0500000001,1957,M07,45369
CES0500000001,1957,M08,45371
CES0500000001,1957,M09,45185
CES0500000001,1957,M10,44995
CES0500000001,1957,M11,44789
CES0500000001,1957,M12,44538
CES0500000001,1958,M01,44255
CES0500000001,1958,M02,43744
CES0500000001,1958,M03,43451
CES0500000001,1958,M04,43159
CES0500000001,1958,M05,43020
CES0500000001,1958,M06,42988
CES0500000001,1958,M07,43067
CES0500000001,1958,M08,43221
CES0500000001,1958,M09,43490
CES0500000001,1958,M10,43454
CES0500000001,1958,M11,43916
CES0500000001,1958,M12,43985
CES0500000001,1959,M01,44373
CES0500000001,1959,M02,44572
CES0500000001,1959,M03,44882
CES0500000001,1959,M04,45179
CES0500000001,1959,M05,45397
CES0500000001,1959,M06,45538
CES0500000001,1959,M07,45631
CES0500000001,1959,M08,45155
CES0500000001,1959,M09,45189
CES0500000001,1959,M10,45093
CES0500000001,1959,M11,45350
CES0500000001,1959,M12,45806
CES0500000001,1960,M01,45967
CES0500000001,1960,M02,46187
CES0500000001,1960,M03,45929
CES0500000001,1960,M04,46279
CES0500000001,1960,M05,46043
CES0500000001,1960,M06,45916
CES0500000001,1960,M07,45864
CES0500000001,1960,M08,45800
CES0500000001,1960,M09,45733
CES0500000001,1960,M10,45640
CES0500000001,1960,M11,45445
CES0500000001,1960,M12,45145
CES0500000001,1961,M01,45119
CES0500000001,1961,M02,44970
CES0500000001,1961,M03,45048
CES0500000001,1961,M04,44998
CES0500000001,1961,M05,45122
CES0500000001,1961,M06,45289
CES0500000001,1961,M07,45399
CES0500000001,1961,M08,45534
CES0500000001,1961,M09,45592
CES0500000001,1961,M10,45717
CES0500000001,1961,M11,45930
CES0500000001,1961,M12,46036
CES0500000001,1962,M01,46040
CES0500000001,1962,M02,46310
CES0500000001,1962,M03,46374
CES0500000001,1962,M04,46680
CES0500000001,1962,M05,46670
CES0500000001,1962,M06,46644
CES0500000001,1962,M07,46720
CES0500000001,1962,M08,46775
CES0500000001,1962,M09,46889
CES0500000001,1962,M10,46927
CES0500000001,1962,M11,46911
CES0500000001,1962,M12,46902
CES0500000001,1963,M01,46911
CES0500000001,1963,M02,46999
CES0500000001,1963,M03,47075
CES0500000001,1963,M04,47316
CES0500000001,1963,M05,47328
CES0500000001,1963,M06,47357
CES0500000001,1963,M07,47460
CES0500000001,1963,M08,47542
CES0500000001,1963,M09,47661
CES0500000001,1963,M10,47804
CES0500000001,1963,M11,47771
CES0500000001,1963,M12,47864
CES0500000001,1964,M01,47925
CES0500000001,1964,M02,48172
CES0500000001,1964,M03,48286
CES0500000001,1964,M04,48278
CES0500000001,1964,M05,48419
CES0500000001,1964,M06,48550
CES0500000001,1964,M07,48735
CES0500000001,1964,M08,48887
CES0500000001,1964,M09,49117
CES0500000001,1964,M10,48948
CES0500000001,1964,M11,49339
CES0500000001,1964,M12,49524
CES0500000001,1965,M01,49645
CES0500000001,1965,M02,49826
CES0500000001,1965,M03,49993
CES0500000001,1965,M04,50208
CES0500000001,1965,M05,50397
CES0500000001,1965,M06,50562
CES0500000001,1965,M07,50764
CES0500000001,1965,M08,50957
CES0500000001,1965,M09,51152
CES0500000001,1965,M10,51341
CES0500000001,1965,M11,51560
CES0500000001,1965,M12,51823
CES0500000001,1966,M01,51988
CES0500000001,1966,M02,52185
CES0500000001,1966,M03,52500
CES0500000001,1966,M04,52678
CES0500000001,1966,M05,52891
CES0500000001,1966,M06,53209
CES0500000001,1966,M07,53327
CES0500000001,1966,M08,53501
CES0500000001,1966,M09,53580
CES0500000001,1966,M10,53727
CES0500000001,1966,M11,53816
CES0500000001,1966,M12,53943
CES0500000001,1967,M01,54092
CES0500000001,1967,M02,54076
CES0500000001,1967,M03,54133
CES0500000001,1967,M04,54031
CES0500000001,1967,M05,54146
CES0500000001,1967,M06,54216
CES0500000001,1967,M07,54344
CES0500000001,1967,M08,54553
CES0500000001,1967,M09,54541
CES0500000001,1967,M10,54583
CES0500000001,1967,M11,55008
CES0500000001,1967,M12,55165
CES0500000001,1968,M01,55010
CES0500000001,1968,M02,55396
CES0500000001,1968,M03,55453
CES0500000001,1968,M04,55678
CES0500000001,1968,M05,55747
CES0500000001,1968,M06,55918
CES0500000001,1968,M07,56108
CES0500000001,1968,M08,56288
CES0500000001,1968,M09,56417
CES0500000001,1968,M10,56620
CES0500000001,1968,M11,56877
CES0500000001,1968,M12,57103
CES0500000001,1969,M01,57230
CES0500000001,1969,M02,57475
CES0500000001,1969,M03,57676
CES0500000001,1969,M04,57827
CES0500000001,1969,M05,58044
CES0500000001,1969,M06,58277
CES0500000001,1969,M07,58389
CES0500000001,1969,M08,58635
CES0500000001,1969,M09,58535
CES0500000001,1969,M10,58691
CES0500000001,1969,M11,58638
CES0500000001,1969,M12,58764
CES0500000001,1970,M01,58680
CES0500000001,1970,M02,58787
CES0500000001,1970,M03,58848
CES0500000001,1970,M04,58643
CES0500000001,1970,M05,58456
CES0500000001,1970,M06,58362
CES0500000001,1970,M07,58356
CES0500000001,1970,M08,58226
CES0500000001,1970,M09,58203
CES0500000001,1970,M10,57728
CES0500000001,1970,M11,57579
CES0500000001,1970,M12,57947
CES0500000001,1971,M01,57987
CES0500000001,1971,M02,57930
CES0500000001,1971,M03,57952
CES0500000001,1971,M04,58091
CES0500000001,1971,M05,58277
CES0500000001,1971,M06,58246
CES0500000001,1971,M07,58304
CES0500000001,1971,M08,58332
CES0500000001,1971,M09,58546
CES0500000001,1971,M10,58527
CES0500000001,1971,M11,58699
CES0500000001,1971,M12,58919
CES0500000001,1972,M01,59175
CES0500000001,1972,M02,59350
CES0500000001,1972,M03,59615
CES0500000001,1972,M04,59804
CES0500000001,1972,M05,60053
CES0500000001,1972,M06,60353
CES0500000001,1972,M07,60227
CES0500000001,1972,M08,60611
CES0500000001,1972,M09,60689
CES0500000001,1972,M10,61068
CES0500000001,1972,M11,61330
CES0500000001,1972,M12,61584
CES0500000001,1973,M01,61927
CES0500000001,1973,M02,62303
CES0500000001,1973,M03,62539
CES0500000001,1973,M04,62678
CES0500000001,1973,M05,62831
CES0500000001,1973,M06,63015
CES0500000001,1973,M07,63048
CES0500000001,1973,M08,63264
CES0500000001,1973,M09,63384
CES0500000001,1973,M10,63630
CES0500000001,1973,M11,63885
CES0500000001,1973,M12,63961
CES0500000001,1974,M01,64010
CES0500000001,1974,M02,64119
CES0500000001,1974,M03,64144
CES0500000001,1974,M04,64191
CES0500000001,1974,M05,64328
CES0500000001,1974,M06,64365
CES0500000001,1974,M07,64348
CES0500000001,1974,M08,64291
CES0500000001,1974,M09,64188
CES0500000001,1974,M10,64146
CES0500000001,1974,M11,63733
CES0500000001,1974,M12,63093
CES0500000001,1975,M01,62669
CES0500000001,1975,M02,62171
CES0500000001,1975,M03,61894
CES0500000001,1975,M04,61665
CES0500000001,1975,M05,61797
CES0500000001,1975,M06,61737
CES0500000001,1975,M07,61909
CES0500000001,1975,M08,62283
CES0500000001,1975,M09,62404
CES0500000001,1975,M10,62640
CES0500000001,1975,M11,62782
CES0500000001,1975,M12,63071
CES0500000001,1976,M01,63534
CES0500000001,1976,M02,63835
CES0500000001,1976,M03,64061
CES0500000001,1976,M04,64307
CES0500000001,1976,M05,64341
CES0500000001,1976,M06,64413
CES0500000001,1976,M07,64554
CES0500000001,1976,M08,64697
CES0500000001,1976,M09,64921
CES0500000001,1976,M10,64883
CES0500000001,1976,M11,65167
CES0500000001,1976,M12,65373
CES0500000001,1977,M01,65634
CES0500000001,1977,M02,65932
CES0500000001,1977,M03,66341
CES0500000001,1977,M04,66653
CES0500000001,1977,M05,66956
CES0500000001,1977,M06,67281
CES0500000001,1977,M07,67535
CES0500000001,1977,M08,67747
CES0500000001,1977,M09,68129
CES0500000001,1977,M10,68337
CES0500000001,1977,M11,68658
CES0500000001,1977,M12,68872
CES0500000001,1978,M01,68983
CES0500000001,1978,M02,69277
CES0500000001,1978,M03,69729
CES0500000001,1978,M04,70365
CES0500000001,1978,M05,70675
CES0500000001,1978,M06,71098
CES0500000001,1978,M07,71303
CES0500000001,1978,M08,71592
CES0500000001,1978,M09,71802
CES0500000001,1978,M10,72098
CES0500000001,1978,M11,72497
CES0500000001,1978,M12,72760
CES0500000001,1979,M01,72871
CES0500000001,1979,M02,73108
CES0500000001,1979,M03,73523
CES0500000001,1979,M04,73440
CES0500000001,1979,M05,73799
CES0500000001,1979,M06,74063
CES0500000001,1979,M07,74067
CES0500000001,1979,M08,74071
CES0500000001,1979,M09,74199
CES0500000001,1979,M10,74345
CES0500000001,1979,M11,74400
CES0500000001,1979,M12,74492
CES0500000001,1980,M01,74599
CES0500000001,1980,M02,74657
CES0500000001,1980,M03,74698
CES0500000001,1980,M04,74266
CES0500000001,1980,M05,73966
CES0500000001,1980,M06,73660
CES0500000001,1980,M07,73422
CES0500000001,1980,M08,73689
CES0500000001,1980,M09,73883
CES0500000001,1980,M10,74104
CES0500000001,1980,M11,74356
CES0500000001,1980,M12,74570
CES0500000001,1981,M01,74673
CES0500000001,1981,M02,74759
CES0500000001,1981,M03,74918
CES0500000001,1981,M04,75023
CES0500000001,1981,M05,75098
CES0500000001,1981,M06,75331
CES0500000001,1981,M07,75426
CES0500000001,1981,M08,75455
CES0500000001,1981,M09,75446
CES0500000001,1981,M10,75311
CES0500000001,1981,M11,75093
CES0500000001,1981,M12,74822
CES0500000001,1982,M01,74524
CES0500000001,1982,M02,74552
CES0500000001,1982,M03,74410
CES0500000001,1982,M04,74140
CES0500000001,1982,M05,74104
CES0500000001,1982,M06,73849
CES0500000001,1982,M07,73631
CES0500000001,1982,M08,73433
CES0500000001,1982,M09,73260
CES0500000001,1982,M10,72951
CES0500000001,1982,M11,72809
CES0500000001,1982,M12,72790
CES0500000001,1983,M01,72967
CES0500000001,1983,M02,72913
CES0500000001,1983,M03,73085
CES0500000001,1983,M04,73374
CES0500000001,1983,M05,73639
CES0500000001,1983,M06,74001
CES0500000001,1983,M07,74426
CES0500000001,1983,M08,74113
CES0500000001,1983,M09,75205
CES0500000001,1983,M10,75534
CES0500000001,1983,M11,75878
CES0500000001,1983,M12,76222
CES0500000001,1984,M01,76663
CES0500000001,1984,M02,77132
CES0500000001,1984,M03,77399
CES0500000001,1984,M04,77717
CES0500000001,1984,M05,77995
CES0500000001,1984,M06,78352
CES0500000001,1984,M07,78617
CES0500000001,1984,M08,78808
CES0500000001,1984,M09,79089
CES0500000001,1984,M10,79355
CES0500000001,1984,M11,79671
CES0500000001,1984,M12,79825
CES0500000001,1985,M01,80036
CES0500000001,1985,M02,80154
CES0500000001,1985,M03,80447
CES0500000001,1985,M04,80608
CES0500000001,1985,M05,80838
CES0500000001,1985,M06,80961
CES0500000001,1985,M07,81028
CES0500000001,1985,M08,81221
CES0500000001,1985,M09,81407
CES0500000001,1985,M10,81579
CES0500000001,1985,M11,81769
CES0500000001,1985,M12,81915
CES0500000001,1986,M01,82017
CES0500000001,1986,M02,82088
CES0500000001,1986,M03,82179
CES0500000001,1986,M04,82356
CES0500000001,1986,M05,82458
CES0500000001,1986,M06,82376
CES0500000001,1986,M07,82694
CES0500000001,1986,M08,82788
CES0500000001,1986,M09,83024
CES0500000001,1986,M10,83152
CES0500000001,1986,M11,83303
CES0500000001,1986,M12,83488
CES0500000001,1987,M01,83633
CES0500000001,1987,M02,83883
CES0500000001,1987,M03,84100
CES0500000001,1987,M04,84390
CES0500000001,1987,M05,84616
CES0500000001,1987,M06,84776
CES0500000001,1987,M07,85087
CES0500000001,1987,M08,85248
CES0500000001,1987,M09,85512
CES0500000001,1987,M10,85869
CES0500000001,1987,M11,86073
CES0500000001,1987,M12,86314
CES0500000001,1988,M01,86388
CES0500000001,1988,M02,86825
CES0500000001,1988,M03,87042
CES0500000001,1988,M04,87280
CES0500000001,1988,M05,87481
CES0500000001,1988,M06,87811
CES0500000001,1988,M07,88056
CES0500000001,1988,M08,88130
CES0500000001,1988,M09,88379
CES0500000001,1988,M10,88606
CES0500000001,1988,M11,88871
CES0500000001,1988,M12,89162
CES0500000001,1989,M01,89387
CES0500000001,1989,M02,89615
CES0500000001,1989,M03,89799
CES0500000001,1989,M04,89951
CES0500000001,1989,M05,90037
CES0500000001,1989,M06,90115
CES0500000001,1989,M07,90164
CES0500000001,1989,M08,90131
CES0500000001,1989,M09,90342
CES0500000001,1989,M10,90443
CES0500000001,1989,M11,90695
CES0500000001,1989,M12,90761
CES0500000001,1990,M01,91037
CES0500000001,1990,M02,91255
CES0500000001,1990,M03,91342
CES0500000001,1990,M04,91293
