all_employees_private,year,month,value_in_thousands
CES0500000001,2011,M08,110107
CES0500000001,2011,M09,110362
CES0500000001,2011,M10,110559
CES0500000001,2011,M11,110730
CES0500000001,2011,M12,110947
CES0500000001,2012,M01,111300
CES0500000001,2012,M02,111571
CES0500000001,2012,M03,111801
CES0500000001,2012,M04,111896
CES0500000001,2012,M05,112024
CES0500000001,2012,M06,112077
CES0500000001,2012,M07,112240
CES0500000001,2012,M08,112414
CES0500000001,2012,M09,112587
CES0500000001,2012,M10,112768
CES0500000001,2012,M11,112951
CES0500000001,2012,M12,113188
CES0500000001,2013,M01,113396
CES0500000001,2013,M02,113663
CES0500000001,2013,M03,113819
CES0500000001,2013,M04,114007
CES0500000001,2013,M05,114227
CES0500000001,2013,M06,114429
CES0500000001,2013,M07,114576
CES0500000001,2013,M08,114804
CES0500000001,2013,M09,114984
CES0500000001,2013,M10,115209
CES0500000001,2013,M11,115471
CES0500000001,2013,M12,115548
CES0500000001,2014,M01,115738
CES0500000001,2014,M02,115882
CES0500000001,2014,M03,116153
CES0500000001,2014,M04,116445
CES0500000001,2014,M05,116669
CES0500000001,2014,M06,116938
CES0500000001,2014,M07,117175
CES0500000001,2014,M08,117403
CES0500000001,2014,M09,117666
CES0500000001,2014,M10,117888
CES0500000001,2014,M11,118157
CES0500000001,2014,M12,118419
CES0500000001,2015,M01,118602
CES0500000001,2015,M02,118851
CES0500000001,2015,M03,118954
CES0500000001,2015,M04,119197
CES0500000001,2015,M05,119528
CES0500000001,2015,M06,119680
CES0500000001,2015,M07,119939
CES0500000001,2015,M08,120070
CES0500000001,2015,M09,120225
CES0500000001,2015,M10,120529
CES0500000001,2015,M11,120729
CES0500000001,2015,M12,120986
CES0500000001,2016,M01,121084
CES0500000001,2016,M02,121272
CES0500000001,2016,M03,121488
CES0500000001,2016,M04,121672
CES0500000001,2016,M05,121702
CES0500000001,2016,M06,121972
CES0500000001,2016,M07,122226
CES0500000001,2016,M08,122380
CES0500000001,2016,M09,122638
CES0500000001,2016,M10,122774
CES0500000001,2016,M11,122912
CES0500000001,2016,M12,123104
CES0500000001,2017,M01,123323
CES0500000001,2017,M02,123519
CES0500000001,2017,M03,123646
CES0500000001,2017,M04,123837
CES0500000001,2017,M05,124042
CES0500000001,2017,M06,124228
CES0500000001,2017,M07,124398
CES0500000001,2017,M08,124597
CES0500000001,2017,M09,124666
CES0500000001,2017,M10,124786
CES0500000001,2017,M11,124998
CES0500000001,2017,M12,125137
CES0500000001,2018,M01,125296
CES0500000001,2018,M02,125639
CES0500000001,2018,M03,125854
CES0500000001,2018,M04,125982
CES0500000001,2018,M05,126306
CES0500000001,2018,M06,126484
CES0500000001,2018,M07,126586
CES0500000001,2018,M08,126804
CES0500000001,2018,M09,126887
CES0500000001,2018,M10,127047
CES0500000001,2018,M11,127149
CES0500000001,2018,M12,127294
CES0500000001,2019,M01,127590
CES0500000001,2019,M02,127556
CES0500000001,2019,M03,127747
CES0500000001,2019,M04,127953
CES0500000001,2019,M05,128061
CES0500000001,2019,M06,128220
CES0500000001,2019,M07,128337
CES0500000001,2019,M08,128497
CES0500000001,2019,M09,128673
CES0500000001,2019,M10,128772
CES0500000001,2019,M11,128948
CES0500000001,2019,M12,129041
CES0500000001,2020,M01,129315
CES0500000001,2020,M02,129500
CES0500000001,2020,M03,128103
CES0500000001,2020,M04,108503
CES0500000001,2020,M05,111659
CES0500000001,2020,M06,116213
CES0500000001,2020,M07,117555
CES0500000001,2020,M08,118788
CES0500000001,2020,M09,119841
CES0500000001,2020,M10,120712
CES0500000001,2020,M11,121062
CES0500000001,2020,M12,120804
CES0500000001,2021,M01,121188
CES0500000001,2021,M02,121751
CES0500000001,2021,M03,122452
CES0500000001,2021,M04,122685
CES0500000001,2021,M05,123166
CES0500000001,2021,M06,123790
CES0500000001,2021,M07,124521
CES0500000001,2021,M08,125121
CES0500000001,2021,M09,125704
CES0500000001,2021,M10,126522
CES0500000001,2021,M11,127135
CES0500000001,2021,M12,127686
CES0500000001,2022,M01,128031
CES0500000001,2022,M02,128928
CES0500000001,2022,M03,129351
CES0500000001,2022,M04,129577
CES0500000001,2022,M05,129920
CES0500000001,2022,M06,130302
CES0500000001,2022,M07,130795
CES0500000001,2022,M08,131101
CES0500000001,2022,M09,131445
CES0500000001,2022,M10,131744
CES0500000001,2022,M11,131972
CES0500000001,2022,M12,132204
CES0500000001,2023,M01,132557
CES0500000001,2023,M02,132750
CES0500000001,2023,M03,132907
CES0500000001,2023,M04,133086
CES0500000001,2023,M05,133341
CES0500000001,2023,M06,133427
CES0500000001,2023,M07,133572
CES0500000001,2023,M08,133686
CES0500000001,2023,M09,133885
CES0500000001,2023,M10,133929
CES0500000001,2023,M11,134065
CES0500000001,2023,M12,134229
