production_employees_private,year,month,value_in_thousands
CES0500000006,1978,M06,58263
CES0500000006,1978,M07,58421
CES0500000006,1978,M08,58626
CES0500000006,1978,M09,58819
CES0500000006,1978,M10,59019
CES0500000006,1978,M11,59374
CES0500000006,1978,M12,59598
CES0500000006,1979,M01,59660
CES0500000006,1979,M02,59841
CES0500000006,1979,M03,60219
CES0500000006,1979,M04,60068
CES0500000006,1979,M05,60370
CES0500000006,1979,M06,60582
CES0500000006,1979,M07,60559
CES0500000006,1979,M08,60517
CES0500000006,1979,M09,60632
CES0500000006,1979,M10,60747
CES0500000006,1979,M11,60778
CES0500000006,1979,M12,60864
CES0500000006,1980,M01,60901
CES0500000006,1980,M02,60967
CES0500000006,1980,M03,60990
CES0500000006,1980,M04,60544
CES0500000006,1980,M05,60198
CES0500000006,1980,M06,59896
CES0500000006,1980,M07,59697
CES0500000006,1980,M08,59912
CES0500000006,1980,M09,60079
CES0500000006,1980,M10,60242
CES0500000006,1980,M11,60451
CES0500000006,1980,M12,60616
CES0500000006,1981,M01,60716
CES0500000006,1981,M02,60741
CES0500000006,1981,M03,60883
CES0500000006,1981,M04,60978
CES0500000006,1981,M05,60981
CES0500000006,1981,M06,61140
CES0500000006,1981,M07,61225
CES0500000006,1981,M08,61221
CES0500000006,1981,M09,61238
CES0500000006,1981,M10,61071
CES0500000006,1981,M11,60823
CES0500000006,1981,M12,60529
CES0500000006,1982,M01,60218
CES0500000006,1982,M02,60284
CES0500000006,1982,M03,60150
CES0500000006,1982,M04,59877
CES0500000006,1982,M05,59851
CES0500000006,1982,M06,59599
CES0500000006,1982,M07,59417
CES0500000006,1982,M08,59212
CES0500000006,1982,M09,59077
CES0500000006,1982,M10,58762
CES0500000006,1982,M11,58629
CES0500000006,1982,M12,58610
CES0500000006,1983,M01,58826
CES0500000006,1983,M02,58800
CES0500000006,1983,M03,58971
CES0500000006,1983,M04,59213
CES0500000006,1983,M05,59457
CES0500000006,1983,M06,59818
CES0500000006,1983,M07,60199
CES0500000006,1983,M08,59832
CES0500000006,1983,M09,60859
CES0500000006,1983,M10,61109
CES0500000006,1983,M11,61398
CES0500000006,1983,M12,61688
CES0500000006,1984,M01,61924
CES0500000006,1984,M02,62343
CES0500000006,1984,M03,62530
CES0500000006,1984,M04,62817
CES0500000006,1984,M05,63028
CES0500000006,1984,M06,63310
CES0500000006,1984,M07,63528
CES0500000006,1984,M08,63667
CES0500000006,1984,M09,63889
CES0500000006,1984,M10,64101
CES0500000006,1984,M11,64347
CES0500000006,1984,M12,64464
CES0500000006,1985,M01,64678
CES0500000006,1985,M02,64776
CES0500000006,1985,M03,65025
CES0500000006,1985,M04,65134
CES0500000006,1985,M05,65328
CES0500000006,1985,M06,65403
CES0500000006,1985,M07,65449
CES0500000006,1985,M08,65631
CES0500000006,1985,M09,65771
CES0500000006,1985,M10,65939
CES0500000006,1985,M11,66093
CES0500000006,1985,M12,66222
CES0500000006,1986,M01,66317
CES0500000006,1986,M02,66382
CES0500000006,1986,M03,66427
CES0500000006,1986,M04,66556
CES0500000006,1986,M05,66636
CES0500000006,1986,M06,66560
